2023-01-04 13:54:50,450 INFO    MainThread:47382 [wandb_setup.py:_flush():68] Configure stats pid to 47382
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_setup.py:_flush():68] Loading settings from /Users/estyle-109/.config/wandb/settings
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_setup.py:_flush():68] Loading settings from /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/settings
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'MachineLearning/wandb/tutorial/tutorial.py', 'program': '/Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/tutorial.py'}
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_init.py:_log_setup():476] Logging user logs to /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/run-20230104_135450-2heag3z8/logs/debug.log
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/run-20230104_135450-2heag3z8/logs/debug-internal.log
2023-01-04 13:54:50,451 INFO    MainThread:47382 [wandb_init.py:init():516] calling init triggers
2023-01-04 13:54:50,452 INFO    MainThread:47382 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-04 13:54:50,452 INFO    MainThread:47382 [wandb_init.py:init():569] starting backend
2023-01-04 13:54:50,452 INFO    MainThread:47382 [wandb_init.py:init():573] setting up manager
2023-01-04 13:54:50,455 INFO    MainThread:47382 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-04 13:54:50,458 INFO    MainThread:47382 [wandb_init.py:init():580] backend started and connected
2023-01-04 13:54:50,461 INFO    MainThread:47382 [wandb_init.py:init():658] updated telemetry
2023-01-04 13:54:50,543 INFO    MainThread:47382 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-04 13:54:51,127 INFO    MainThread:47382 [wandb_run.py:_on_init():2006] communicating current version
2023-01-04 13:54:51,240 INFO    MainThread:47382 [wandb_run.py:_on_init():2010] got version response 
2023-01-04 13:54:51,240 INFO    MainThread:47382 [wandb_init.py:init():728] starting run threads in backend
2023-01-04 13:54:53,722 INFO    MainThread:47382 [wandb_run.py:_console_start():1986] atexit reg
2023-01-04 13:54:53,722 INFO    MainThread:47382 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-04 13:54:53,722 INFO    MainThread:47382 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-04 13:54:53,722 INFO    MainThread:47382 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-04 13:54:53,723 INFO    MainThread:47382 [wandb_init.py:init():765] run started, returning control to user process
2023-01-04 13:54:58,879 WARNING MsgRouterThr:47382 [router.py:message_loop():77] message_loop has been closed
