2023-01-04 14:01:00,836 INFO    MainThread:48095 [wandb_setup.py:_flush():68] Configure stats pid to 48095
2023-01-04 14:01:00,843 INFO    MainThread:48095 [wandb_setup.py:_flush():68] Loading settings from /Users/estyle-109/.config/wandb/settings
2023-01-04 14:01:00,843 INFO    MainThread:48095 [wandb_setup.py:_flush():68] Loading settings from /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/settings
2023-01-04 14:01:00,843 INFO    MainThread:48095 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-04 14:01:00,843 INFO    MainThread:48095 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'MachineLearning/wandb/tutorial/tutorial.py', 'program': '/Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/tutorial.py'}
2023-01-04 14:01:00,843 INFO    MainThread:48095 [wandb_init.py:_log_setup():476] Logging user logs to /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/run-20230104_140100-fyfju3xt/logs/debug.log
2023-01-04 14:01:00,844 INFO    MainThread:48095 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/estyle-109/workspace/Confluence/MachineLearning/wandb/tutorial/wandb/run-20230104_140100-fyfju3xt/logs/debug-internal.log
2023-01-04 14:01:00,844 INFO    MainThread:48095 [wandb_init.py:init():516] calling init triggers
2023-01-04 14:01:00,844 INFO    MainThread:48095 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-04 14:01:00,844 INFO    MainThread:48095 [wandb_init.py:init():569] starting backend
2023-01-04 14:01:00,844 INFO    MainThread:48095 [wandb_init.py:init():573] setting up manager
2023-01-04 14:01:00,847 INFO    MainThread:48095 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-04 14:01:00,851 INFO    MainThread:48095 [wandb_init.py:init():580] backend started and connected
2023-01-04 14:01:00,855 INFO    MainThread:48095 [wandb_init.py:init():658] updated telemetry
2023-01-04 14:01:00,918 INFO    MainThread:48095 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-04 14:01:01,521 INFO    MainThread:48095 [wandb_run.py:_on_init():2006] communicating current version
2023-01-04 14:01:01,637 INFO    MainThread:48095 [wandb_run.py:_on_init():2010] got version response 
2023-01-04 14:01:01,637 INFO    MainThread:48095 [wandb_init.py:init():728] starting run threads in backend
2023-01-04 14:01:03,966 INFO    MainThread:48095 [wandb_run.py:_console_start():1986] atexit reg
2023-01-04 14:01:03,967 INFO    MainThread:48095 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-04 14:01:03,967 INFO    MainThread:48095 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-04 14:01:03,967 INFO    MainThread:48095 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-04 14:01:03,967 INFO    MainThread:48095 [wandb_init.py:init():765] run started, returning control to user process
2023-01-04 14:01:09,274 WARNING MsgRouterThr:48095 [router.py:message_loop():77] message_loop has been closed
